assembly_accession	sample_name	GenomeID	haplotype	GenHapID
GCA_041900245.1	HG00408_mat	HG00408	Hap2	HG00408_Hap2
GCA_041900265.1	HG00597_mat	HG00597	Hap2	HG00597_Hap2
GCA_041900275.1	HG01192_mat	HG01192	Hap2	HG01192_Hap2
GCA_041899995.1	HG01261_mat	HG01261	Hap2	HG01261_Hap2
GCA_041900105.1	HG02015_mat	HG02015	Hap2	HG02015_Hap2
GCA_041900015.1	HG02056_mat	HG02056	Hap2	HG02056_Hap2
GCA_041900385.1	HG02129_mat	HG02129	Hap2	HG02129_Hap2
GCA_041900135.1	HG02258_mat	HG02258	Hap2	HG02258_Hap2
GCA_041900115.1	HG03834_mat	HG03834	Hap2	HG03834_Hap2
GCA_045999905.1	HG01975_mat	HG01975	Hap2	HG01975_Hap2
GCA_046000055.1	HG02602_mat	HG02602	Hap2	HG02602_Hap2
GCA_045999925.1	HG04187_mat	HG04187	Hap2	HG04187_Hap2
GCA_045999895.1	NA18879_mat	NA18879	Hap2	NA18879_Hap2
GCA_045999885.1	NA20752_mat	NA20752	Hap2	NA20752_Hap2
GCA_018852585.2	HG02145_mat	HG02145	Hap2	HG02145_Hap2
GCA_042027095.1	HG00609_mat	HG00609	Hap2	HG00609_Hap2
GCA_042028155.1	HG00642_mat	HG00642	Hap2	HG00642_Hap2
GCA_042028935.1	HG00738_mat	HG00738	Hap2	HG00738_Hap2
GCA_042026525.1	HG01099_mat	HG01099	Hap2	HG01099_Hap2
GCA_042028895.1	HG01255_mat	HG01255	Hap2	HG01255_Hap2
GCA_042028165.1	HG01346_mat	HG01346	Hap2	HG01346_Hap2
GCA_042027645.1	HG01433_mat	HG01433	Hap2	HG01433_Hap2
GCA_042027145.1	HG01496_mat	HG01496	Hap2	HG01496_Hap2
GCA_042027665.1	HG01884_mat	HG01884	Hap2	HG01884_Hap2
GCA_042027065.1	HG01981_mat	HG01981	Hap2	HG01981_Hap2
GCA_042027655.1	HG01993_mat	HG01993	Hap2	HG01993_Hap2
GCA_042027105.1	HG02004_mat	HG02004	Hap2	HG02004_Hap2
GCA_042030185.1	HG02027_mat	HG02027	Hap2	HG02027_Hap2
GCA_042030175.1	HG02083_mat	HG02083	Hap2	HG02083_Hap2
GCA_042029645.1	HG02132_mat	HG02132	Hap2	HG02132_Hap2
GCA_042026465.1	HG02280_mat	HG02280	Hap2	HG02280_Hap2
GCA_042026455.1	HG02293_mat	HG02293	Hap2	HG02293_Hap2
GCA_042027635.1	HG02300_mat	HG02300	Hap2	HG02300_Hap2
GCA_042026475.1	HG02451_mat	HG02451	Hap2	HG02451_Hap2
GCA_042029905.1	HG02523_mat	HG02523	Hap2	HG02523_Hap2
GCA_042028975.1	HG02615_mat	HG02615	Hap2	HG02615_Hap2
GCA_042028065.1	HG02647_mat	HG02647	Hap2	HG02647_Hap2
GCA_042029495.1	HG02698_mat	HG02698	Hap2	HG02698_Hap2
GCA_042029535.1	HG03654_mat	HG03654	Hap2	HG03654_Hap2
GCA_042028875.1	HG03669_mat	HG03669	Hap2	HG03669_Hap2
GCA_042029545.1	HG03688_mat	HG03688	Hap2	HG03688_Hap2
GCA_042026535.1	HG03704_mat	HG03704	Hap2	HG03704_Hap2
GCA_042029485.1	HG03710_mat	HG03710	Hap2	HG03710_Hap2
GCA_042028025.1	HG03831_mat	HG03831	Hap2	HG03831_Hap2
GCA_042028145.1	HG03927_mat	HG03927	Hap2	HG03927_Hap2
GCA_042028945.1	HG04115_mat	HG04115	Hap2	HG04115_Hap2
GCA_042027765.1	HG04184_mat	HG04184	Hap2	HG04184_Hap2
GCA_042029385.1	HG04199_mat	HG04199	Hap2	HG04199_Hap2
GCA_046056425.1	HG02738_mat	HG02738	Hap2	HG02738_Hap2
GCA_018472605.2	HG00621_mat	HG00621	Hap2	HG00621_Hap2
GCA_018471095.2	HG00741_mat	HG00741	Hap2	HG00741_Hap2
GCA_018471345.2	HG01106_mat	HG01106	Hap2	HG01106_Hap2
GCA_018471085.2	HG01175_mat	HG01175	Hap2	HG01175_Hap2
GCA_018469405.2	HG01258_mat	HG01258	Hap2	HG01258_Hap2
GCA_018467155.2	HG01891_mat	HG01891	Hap2	HG01891_Hap2
GCA_018471545.2	HG01952_mat	HG01952	Hap2	HG01952_Hap2
GCA_018471535.2	HG02148_mat	HG02148	Hap2	HG02148_Hap2
GCA_018467015.2	HG02486_mat	HG02486	Hap2	HG02486_Hap2
GCA_018466985.2	HG02559_mat	HG02559	Hap2	HG02559_Hap2
GCA_018470445.2	HG02572_mat	HG02572	Hap2	HG02572_Hap2
GCA_018469875.2	HG02622_mat	HG02622	Hap2	HG02622_Hap2
GCA_018470455.2	HG02886_mat	HG02886	Hap2	HG02886_Hap2
GCA_018472855.2	HG03453_mat	HG03453	Hap2	HG03453_Hap2
